Date,Sales
2/1/2013,5530
3/1/2013,4327
4/1/2013,4486
5/1/2013,4997
7/1/2013,7176
8/1/2013,5580
9/1/2013,5471
10/1/2013,4892
11/1/2013,4881
12/1/2013,4952
14/1/2013,4717
15/1/2013,3900
16/1/2013,4008
17/1/2013,4044
18/1/2013,4127
19/1/2013,5182
21/1/2013,5394
22/1/2013,5720
23/1/2013,5578
24/1/2013,5195
25/1/2013,5586
26/1/2013,5598
28/1/2013,4055
29/1/2013,3725
30/1/2013,4601
31/1/2013,4709
1/2/2013,5633
2/2/2013,5970
4/2/2013,7032
5/2/2013,6049
6/2/2013,6140
7/2/2013,5499
8/2/2013,5681
9/2/2013,5370
11/2/2013,4409
12/2/2013,4015
13/2/2013,4252
14/2/2013,4241
15/2/2013,4809
16/2/2013,6154
18/2/2013,6407
19/2/2013,5386
20/2/2013,5660
21/2/2013,5261
22/2/2013,5000
23/2/2013,5237
25/2/2013,4038
26/2/2013,3794
27/2/2013,4558
28/2/2013,4676
1/3/2013,4611
2/3/2013,5350
4/3/2013,7675
5/3/2013,6300
6/3/2013,5973
7/3/2013,5637
8/3/2013,5853
9/3/2013,5578
11/3/2013,4949
12/3/2013,3853
13/3/2013,4341
14/3/2013,5108
15/3/2013,4925
16/3/2013,5003
18/3/2013,7072
19/3/2013,6563
20/3/2013,5598
21/3/2013,5179
22/3/2013,5506
23/3/2013,5603
25/3/2013,6729
26/3/2013,6686
27/3/2013,6660
28/3/2013,7285
30/3/2013,7132
2/4/2013,5484
3/4/2013,4625
4/4/2013,4293
5/4/2013,4390
6/4/2013,5075
8/4/2013,6046
9/4/2013,5514
10/4/2013,4903
11/4/2013,4366
12/4/2013,5263
13/4/2013,4773
15/4/2013,3941
16/4/2013,3357
17/4/2013,3649
18/4/2013,2952
19/4/2013,4303
20/4/2013,4350
22/4/2013,5672
23/4/2013,4492
24/4/2013,4309
25/4/2013,3939
26/4/2013,4841
27/4/2013,5726
29/4/2013,5821
30/4/2013,5925
2/5/2013,6486
3/5/2013,6027
4/5/2013,5912
6/5/2013,4568
7/5/2013,4624
8/5/2013,5230
10/5/2013,5409
11/5/2013,5064
13/5/2013,6106
14/5/2013,5083
15/5/2013,4790
16/5/2013,4448
17/5/2013,4856
18/5/2013,4413
21/5/2013,4789
22/5/2013,3559
23/5/2013,4030
24/5/2013,4232
25/5/2013,4408
27/5/2013,5519
28/5/2013,4995
29/5/2013,5784
31/5/2013,7893
1/6/2013,5693
3/6/2013,5422
4/6/2013,5220
5/6/2013,5012
6/6/2013,4881
7/6/2013,4315
8/6/2013,4262
10/6/2013,4291
11/6/2013,3784
12/6/2013,3563
13/6/2013,3661
14/6/2013,4150
15/6/2013,4766
17/6/2013,5337
18/6/2013,4633
19/6/2013,4180
20/6/2013,5011
21/6/2013,5173
22/6/2013,4341
24/6/2013,3549
25/6/2013,4536
26/6/2013,3827
27/6/2013,3593
28/6/2013,4407
29/6/2013,5804
1/7/2013,5614
2/7/2013,5868
3/7/2013,5875
4/7/2013,5701
5/7/2013,4986
6/7/2013,4090
8/7/2013,4475
9/7/2013,4047
10/7/2013,3963
11/7/2013,4053
12/7/2013,4134
13/7/2013,4015
15/7/2013,6377
16/7/2013,5643
17/7/2013,4946
18/7/2013,4904
19/7/2013,4275
20/7/2013,4421
22/7/2013,4149
23/7/2013,3937
24/7/2013,3849
25/7/2013,3502
26/7/2013,4221
27/7/2013,3352
29/7/2013,6290
30/7/2013,5773
31/7/2013,5572
1/8/2013,4994
2/8/2013,4494
3/8/2013,4461
5/8/2013,4086
6/8/2013,3582
7/8/2013,4143
8/8/2013,3680
9/8/2013,3257
10/8/2013,3768
12/8/2013,5326
13/8/2013,5299
14/8/2013,4724
15/8/2013,4575
16/8/2013,4552
17/8/2013,4078
19/8/2013,3954
20/8/2013,3492
21/8/2013,3096
22/8/2013,3703
23/8/2013,3493
24/8/2013,4752
26/8/2013,5482
27/8/2013,5156
28/8/2013,4583
29/8/2013,4804
30/8/2013,5469
31/8/2013,5317
2/9/2013,4195
3/9/2013,3928
4/9/2013,3343
5/9/2013,3883
6/9/2013,3836
7/9/2013,4663
9/9/2013,5893
10/9/2013,5403
11/9/2013,5103
12/9/2013,5079
13/9/2013,5187
14/9/2013,4663
16/9/2013,4249
17/9/2013,3685
18/9/2013,3946
19/9/2013,3717
20/9/2013,3516
21/9/2013,3909
23/9/2013,4770
24/9/2013,4274
25/9/2013,4212
26/9/2013,4481
27/9/2013,4669
28/9/2013,4175
30/9/2013,4088
1/10/2013,4178
2/10/2013,4001
4/10/2013,5447
5/10/2013,5352
7/10/2013,6004
8/10/2013,5452
9/10/2013,4957
10/10/2013,5286
11/10/2013,5896
12/10/2013,4954
14/10/2013,3773
15/10/2013,3355
16/10/2013,3383
17/10/2013,3223
18/10/2013,3566
19/10/2013,3667
21/10/2013,5055
22/10/2013,4068
23/10/2013,4612
24/10/2013,4044
25/10/2013,4573
26/10/2013,4347
28/10/2013,3557
29/10/2013,3737
30/10/2013,4119
31/10/2013,4035
1/11/2013,5471
2/11/2013,5233
4/11/2013,5861
5/11/2013,5348
6/11/2013,5572
7/11/2013,5009
8/11/2013,5242
9/11/2013,4681
11/11/2013,4014
12/11/2013,4017
13/11/2013,3310
14/11/2013,3795
15/11/2013,4016
16/11/2013,5071
18/11/2013,5927
19/11/2013,5143
20/11/2013,4936
21/11/2013,4623
22/11/2013,5058
23/11/2013,5297
25/11/2013,4600
26/11/2013,4201
27/11/2013,4561
28/11/2013,4614
29/11/2013,5623
30/11/2013,6373
2/12/2013,6943
3/12/2013,6293
4/12/2013,5688
5/12/2013,5691
6/12/2013,6112
7/12/2013,5799
9/12/2013,4462
10/12/2013,4228
11/12/2013,4301
12/12/2013,4074
13/12/2013,4703
14/12/2013,6119
16/12/2013,8277
17/12/2013,7356
18/12/2013,7821
19/12/2013,6788
20/12/2013,8414
21/12/2013,8043
23/12/2013,9528
24/12/2013,3204
27/12/2013,6110
28/12/2013,5659
30/12/2013,7193
31/12/2013,2362
2/1/2014,4969
3/1/2014,4190
4/1/2014,5173
6/1/2014,6194
7/1/2014,5539
8/1/2014,4931
9/1/2014,4396
10/1/2014,4486
11/1/2014,4454
13/1/2014,3994
14/1/2014,3621
15/1/2014,3776
16/1/2014,3632
17/1/2014,3803
18/1/2014,5128
20/1/2014,6148
21/1/2014,5151
22/1/2014,4562
23/1/2014,4597
24/1/2014,5098
25/1/2014,4546
27/1/2014,3601
28/1/2014,3581
29/1/2014,3789
30/1/2014,4549
31/1/2014,4906
1/2/2014,5292
3/2/2014,5839
4/2/2014,5540
5/2/2014,5031
6/2/2014,4823
7/2/2014,5596
8/2/2014,4726
10/2/2014,3591
11/2/2014,3461
12/2/2014,3662
13/2/2014,3638
14/2/2014,4647
15/2/2014,5258
17/2/2014,5393
18/2/2014,4602
19/2/2014,4935
20/2/2014,4563
21/2/2014,4727
22/2/2014,4820
24/2/2014,3826
25/2/2014,3499
26/2/2014,4108
27/2/2014,3826
28/2/2014,5031
1/3/2014,5307
3/3/2014,6198
4/3/2014,5397
5/3/2014,4916
6/3/2014,4585
7/3/2014,5340
8/3/2014,4400
10/3/2014,3573
11/3/2014,3588
12/3/2014,3805
13/3/2014,3224
14/3/2014,3883
15/3/2014,5042
17/3/2014,5563
18/3/2014,5200
19/3/2014,4036
20/3/2014,4023
21/3/2014,4510
22/3/2014,5241
24/3/2014,3850
25/3/2014,3136
26/3/2014,3225
27/3/2014,3847
28/3/2014,3987
29/3/2014,4583
31/3/2014,6008
1/4/2014,5407
2/4/2014,4834
3/4/2014,4556
4/4/2014,4738
5/4/2014,4599
7/4/2014,3751
8/4/2014,3990
9/4/2014,3919
10/4/2014,3948
11/4/2014,3733
12/4/2014,4435
14/4/2014,6803
15/4/2014,6196
16/4/2014,6381
17/4/2014,6160
19/4/2014,5871
22/4/2014,4133
23/4/2014,3482
24/4/2014,3376
25/4/2014,3710
26/4/2014,3989
28/4/2014,5488
29/4/2014,5923
30/4/2014,5870
2/5/2014,6790
3/5/2014,5498
5/5/2014,5325
6/5/2014,5055
7/5/2014,5075
8/5/2014,5222
9/5/2014,5237
10/5/2014,5996
12/5/2014,3957
13/5/2014,3535
14/5/2014,3710
15/5/2014,3589
16/5/2014,3863
17/5/2014,3785
19/5/2014,5637
20/5/2014,4909
21/5/2014,4298
22/5/2014,3801
23/5/2014,4968
24/5/2014,4574
26/5/2014,3912
27/5/2014,3971
28/5/2014,4616
30/5/2014,5407
31/5/2014,4985
2/6/2014,6071
3/6/2014,5614
4/6/2014,5229
5/6/2014,5278
6/6/2014,4957
7/6/2014,4923
10/6/2014,4607
11/6/2014,4207
12/6/2014,3702
13/6/2014,3901
14/6/2014,4757
16/6/2014,4788
17/6/2014,5770
18/6/2014,5256
20/6/2014,6362
21/6/2014,3982
23/6/2014,3755
24/6/2014,3351
25/6/2014,3727
26/6/2014,2749
27/6/2014,4019
28/6/2014,5162
30/6/2014,5738
1/7/2014,5138
2/7/2014,5161
3/7/2014,4756
4/7/2014,4025
5/7/2014,5176
7/7/2014,4223
8/7/2014,4081
9/7/2014,3547
10/7/2014,3741
11/7/2014,4020
12/7/2014,4409
14/7/2014,5083
15/7/2014,5298
16/7/2014,5424
17/7/2014,4685
18/7/2014,4609
19/7/2014,4084
21/7/2014,4507
22/7/2014,3933
23/7/2014,3806
24/7/2014,3557
25/7/2014,3858
26/7/2014,4266
28/7/2014,5372
29/7/2014,5252
30/7/2014,5487
31/7/2014,5106
1/8/2014,5038
2/8/2014,4731
4/8/2014,5655
5/8/2014,5433
6/8/2014,5337
7/8/2014,4154
8/8/2014,4451
9/8/2014,4174
11/8/2014,3886
12/8/2014,3185
13/8/2014,4069
14/8/2014,3906
15/8/2014,3746
16/8/2014,4425
18/8/2014,5623
19/8/2014,5190
20/8/2014,4280
21/8/2014,4327
22/8/2014,3971
23/8/2014,3582
25/8/2014,3414
26/8/2014,3396
27/8/2014,3148
28/8/2014,3920
29/8/2014,3869
30/8/2014,4094
1/9/2014,5464
2/9/2014,5008
3/9/2014,4978
4/9/2014,4346
5/9/2014,4706
6/9/2014,3959
8/9/2014,3676
9/9/2014,3377
10/9/2014,3275
11/9/2014,3392
12/9/2014,3906
13/9/2014,4270
15/9/2014,4611
16/9/2014,4381
17/9/2014,4383
18/9/2014,3740
19/9/2014,4128
20/9/2014,3911
22/9/2014,3982
23/9/2014,3407
24/9/2014,3405
25/9/2014,2462
26/9/2014,3518
27/9/2014,3914
29/9/2014,5280
30/9/2014,4919
1/10/2014,4712
2/10/2014,5400
4/10/2014,5355
6/10/2014,5402
7/10/2014,5439
8/10/2014,4944
9/10/2014,4654
10/10/2014,4396
11/10/2014,4743
13/10/2014,4033
14/10/2014,3681
15/10/2014,3775
16/10/2014,3430
17/10/2014,3720
18/10/2014,4169
20/10/2014,4652
21/10/2014,4678
22/10/2014,4868
23/10/2014,4466
24/10/2014,4196
25/10/2014,4596
27/10/2014,4260
28/10/2014,3364
29/10/2014,3761
30/10/2014,4042
31/10/2014,4161
1/11/2014,6532
3/11/2014,5857
4/11/2014,5253
5/11/2014,4838
6/11/2014,4785
7/11/2014,5220
8/11/2014,4720
10/11/2014,5474
11/11/2014,4479
12/11/2014,4677
13/11/2014,3869
14/11/2014,5334
15/11/2014,4967
17/11/2014,3582
18/11/2014,3890
19/11/2014,3894
20/11/2014,4963
21/11/2014,4594
22/11/2014,5849
24/11/2014,6527
25/11/2014,5815
26/11/2014,5328
27/11/2014,6144
28/11/2014,7195
29/11/2014,7066
1/12/2014,7380
2/12/2014,6467
3/12/2014,6454
4/12/2014,7016
5/12/2014,6207
6/12/2014,6185
8/12/2014,4884
9/12/2014,4345
10/12/2014,4915
11/12/2014,5060
12/12/2014,5269
13/12/2014,7263
15/12/2014,8069
16/12/2014,7739
17/12/2014,7523
18/12/2014,7785
19/12/2014,7558
20/12/2014,8367
22/12/2014,9331
23/12/2014,7959
24/12/2014,3659
27/12/2014,6057
29/12/2014,6463
30/12/2014,6466
31/12/2014,2605
2/1/2015,5509
3/1/2015,5023
5/1/2015,6239
6/1/2015,4574
7/1/2015,4796
8/1/2015,3716
9/1/2015,3998
10/1/2015,4599
12/1/2015,5346
13/1/2015,4924
14/1/2015,4541
15/1/2015,4295
16/1/2015,4161
17/1/2015,5255
19/1/2015,3721
20/1/2015,3680
21/1/2015,3299
22/1/2015,3492
23/1/2015,3586
24/1/2015,4840
26/1/2015,4781
27/1/2015,4806
28/1/2015,4310
29/1/2015,5171
30/1/2015,5577
31/1/2015,5363
2/2/2015,6038
3/2/2015,4901
4/2/2015,4672
5/2/2015,4394
6/2/2015,5022
7/2/2015,4663
9/2/2015,3965
10/2/2015,3136
11/2/2015,3735
12/2/2015,3900
13/2/2015,4726
14/2/2015,5015
16/2/2015,4303
17/2/2015,4833
18/2/2015,4180
19/2/2015,4460
20/2/2015,4651
21/2/2015,4475
23/2/2015,3598
24/2/2015,4054
25/2/2015,3875
26/2/2015,4042
27/2/2015,4708
28/2/2015,5289
2/3/2015,5942
3/3/2015,5451
4/3/2015,5568
5/3/2015,4419
6/3/2015,5397
7/3/2015,4592
9/3/2015,3701
10/3/2015,3805
11/3/2015,4170
12/3/2015,3141
13/3/2015,3725
14/3/2015,5225
16/3/2015,5695
17/3/2015,4806
18/3/2015,3858
19/3/2015,4748
20/3/2015,4057
21/3/2015,3909
23/3/2015,3565
24/3/2015,3547
25/3/2015,3531
26/3/2015,3932
27/3/2015,4005
28/3/2015,5208
30/3/2015,6714
31/3/2015,6206
1/4/2015,6816
2/4/2015,6574
4/4/2015,6709
7/4/2015,4163
8/4/2015,4194
9/4/2015,3467
10/4/2015,3549
11/4/2015,4173
13/4/2015,5377
14/4/2015,4648
15/4/2015,4110
16/4/2015,4116
17/4/2015,4718
18/4/2015,4594
20/4/2015,3722
21/4/2015,3037
22/4/2015,3319
23/4/2015,3076
24/4/2015,3198
25/4/2015,4318
27/4/2015,5575
28/4/2015,5199
29/4/2015,5775
30/4/2015,6228
2/5/2015,5850
4/5/2015,5591
5/5/2015,4564
6/5/2015,4960
7/5/2015,4529
8/5/2015,4683
9/5/2015,4945
11/5/2015,3551
12/5/2015,3547
13/5/2015,3998
15/5/2015,4178
16/5/2015,4431
18/5/2015,5280
19/5/2015,5235
20/5/2015,4735
21/5/2015,3755
22/5/2015,4459
23/5/2015,4276
26/5/2015,4211
27/5/2015,4083
28/5/2015,4111
29/5/2015,4656
30/5/2015,5592
1/6/2015,5774
2/6/2015,5450
3/6/2015,5809
5/6/2015,5384
6/6/2015,4183
8/6/2015,4071
9/6/2015,4102
10/6/2015,3591
11/6/2015,3627
12/6/2015,3695
13/6/2015,4256
15/6/2015,5518
16/6/2015,4852
17/6/2015,4000
18/6/2015,4645
19/6/2015,4202
20/6/2015,4097
22/6/2015,3846
23/6/2015,3762
24/6/2015,3346
25/6/2015,3533
26/6/2015,3317
27/6/2015,4019
29/6/2015,5197
30/6/2015,5735
1/7/2015,5223
2/7/2015,5558
3/7/2015,4665
4/7/2015,4797
6/7/2015,4359
7/7/2015,3650
8/7/2015,3797
9/7/2015,3897
10/7/2015,3808
11/7/2015,3530
13/7/2015,5054
14/7/2015,5042
15/7/2015,4767
16/7/2015,4427
17/7/2015,4852
18/7/2015,4406
20/7/2015,4395
21/7/2015,3558
22/7/2015,3464
23/7/2015,3769
24/7/2015,3706
25/7/2015,4364
27/7/2015,6102
28/7/2015,5011
29/7/2015,4782
30/7/2015,5020
31/7/2015,5263
